54,1,*Abakian, L. A.*,*= Avakyan, Levon Avetisovich*,**
54,2,*Abakian, L. A.*,*= Avakyan, Levon Avetisovich*,**
54,3,*Abakian, L. A.*,*= Avakyan, Levon Avetisovich*,**
54,4,*Abakian, L. A.*,*= Avakyan, Levon Avetisovich*,**
54,5,*Abakian, L. A.*,*= Avakyan, Levon Avetisovich*,**
54,6,*Abakian, L. A.*,**,**
54,6,*Burchak-Abramovich, N. I.*,**,**
54,7,*Abbie, A. A.*,**,**
54,8,*Abbie, A. A.*,**,**
54,9,*Abelson, Philip H.*,**,**
54,10,*Abelson, Philip H.*,**,**
54,11,*Abelson, Philip H.*,**,**
54,12,*Abelson, Philip H.*,**,**
54,13,*Abramova, Z. A.*,*= Zoya Aleksandrovna*,**
54,14,*Abrard, Rene%A*,**,**
54,15,*Absolon, Ch.*,**,**
54,16,*Absolon, Ch.*,**,**
54,17,*Accordi, Bruno*,**,**
54,18,*Accordi, Bruno*,**,**
54,19,*Accordi, Bruno*,**,**
54,20,*Accordi, Bruno*,**,**
54,21,*Accordi, Bruno*,**,**
54,22,*Accordi, Bruno*,**,**
54,23,*Accordi, Bruno*,**,**
54,24,*Adam, Karl Dietrich*,**,**
54,25,*Adam, Karl Dietrich*,**,**
54,26,*Adam, Karl Dietrich*,**,**
54,27,*Adam, Karl Dietrich*,**,**
54,28,*Adam, Karl Dietrich*,**,**
54,29,*Adam, Karl Dietrich*,**,**
54,31,*Adams, Frank Dawson*,**,**
54,32,*Adams, W. Claude*,**,**
54,33,*Adler, Irving*,**,**
54,34,*Adler, Irving*,**,**
54,35,*Adler, Irving*,**,**
54,36,*Agache, Roger*,**,**
54,37,*Agache, Roger*,**,**
54,38,*Agache, Roger*,**,**
54,39,*Agache, Roger*,**,**
54,40,*Agache, Roger*,**,**
54,41,*Agache, Roger*,**,**
54,42,*Agache, Roger*,**,**
54,43,*Agogino, G. A.*,**,**
54,43,*Hester, J.*,**,**
54,44,*Agogino, G. A.*,**,**
54,44,*Sachs, S. K.*,**,**
54,45,*Aguirre, Emiliano de*,**,**
54,46,*Aguirre, Emiliano de*,**,**
54,47,*Aguirre, Emiliano de*,**,**
54,48,*Aguirre, Emiliano de*,**,**
54,49,*Aguirre, Emiliano de*,**,**
54,50,*Aguirre, Emiliano de*,**,**
54,51,*Aguirre, Emiliano de*,**,**
54,52,*Aguirre, Emiliano de*,**,**
54,53,*Aguirre, Emiliano de*,**,**
54,54,*Alastrue%A, Eduardo*,**,**
54,55,*Albright, W. F.*,**,**
54,56,*Alcobe%A, Santiago*,**,**
54,57,*Alcobe%A, Santiago*,**,**
54,58,*Alcock, Frederick James*,**,**
54,59,*Alcock, Frederick James*,**,**
54,60,*Alcock, Frederick James*,**,**
54,61,*Alcock, Frederick James*,**,**
54,62,*Aldrich, L. T.*,**,**
54,63,*Alekseev, M. N.*,**,**
54,64,*Alekseev, V. A.*,**,**
54,65,*Alekseev, V. P.*,**,**
54,66,*Alekseev, V. P.*,**,**
54,67,*Alexeeva, L. I.*,**,**
54,68,*Alexeeva, L. I.*,**,**
54,69,*Alimen, Marie-Henrietta*,**,**
54,70,*Alimen, Marie-Henrietta*,**,**
54,71,*Alimen, Marie-Henrietta*,**,**
54,72,*Alimen, Marie-Henrietta*,**,**
54,73,*Alimen, Marie-Henrietta*,**,**
54,74,*Alimen, Marie-Henrietta*,**,**
54,75,*Alimen, Marie-Henrietta*,**,**
54,76,*Alimen, Marie-Henrietta*,**,**
54,77,*Alimen, Marie-Henrietta*,**,**
54,78,*Alimen, Marie-Henrietta*,**,**
54,79,*Alimen, H.*,**,**
54,79,*Arambourg, C.*,**,**
54,79,*Schreuder, A.*,**,**
54,79,*Henri-Martin, G.*,**,**
54,79,*Berlioz, J.*,**,**
54,79,*Bouchud, J.*,**,**
54,80,*Alimen, H.*,**,**
54,80,*Biberson, P.*,**,**
54,81,*Alimen, H.*,**,**
54,81,*Chavaillon, J.*,**,**
54,82,*Alimen, H.*,**,**
54,82,*Chavaillon, J.*,**,**
54,83,*Allain, J.*,**,**
54,84,*Allain, J.*,**,**
54,85,*Allain, J.*,**,**
54,86,*Allchin, Bridget*,**,**
54,87,*Allchin, F. R.*,**,**
54,88,*Allegranzi, A.*,**,**
54,88,*Bartolomei, G.*,**,**
54,89,*Allen, Agnes*,**,**
54,90,*Allen, Ernest K.*,**,**
54,91,*Allix, Audre%A*,**,**
54,92,*Almagia%C, Roberto*,**,**
54,94,*Almagro Basch, Martin*,**,**
54,95,*Almagro Basch, Martin*,**,**
54,96,*Almagro Basch, Martin*,**,**
54,97,*Almagro Basch, Martin*,**,**
54,98,*Almagro Basch, Martin*,**,**
54,99,*Almagro Basch, Martin*,**,**
54,100,*Almagro Basch, Martin*,**,**
54,101,*Almagro Basch, Martin*,**,**
54,102,*Almagro Basch, Martin*,**,**
54,103,*Almagro Basch, Martin*,**,**
54,103,*Beltran, A.*,**,**
54,103,*Ripoll, E.*,**,**
54,104,*Alpysbaev, Kh. A.*,**,**
54,105,*A%Alvarez, Elsa F. de*,**,**
54,106,*A%Alvarez, Manuel, Jr.*,**,**
54,107,*A%Alvarez, Manuel, Jr.*,**,**
