59,1,*Abadie, Jacques*,**,**
59,1,*Barbeau, J.*,**,**
59,1,*Coppens, Y.*,**,**
59,2,*Abbie, A. A.*,**,**
59,3,*Abele, Gustav*,**,**
59,3,*Stephan, W.*,**,**
59,4,*Abramova, E. A.*,**,**
59,5,*Abramova, E. A.*,**,**
59,6,*Absolon, K.*,**,**
59,7,*Absolon, K.*,**,**
59,8,*Absolon, K., et al.*,**,**
59,9,*Acanfora, M. Ornella*,**,**
59,10,*Accordi, Bruno*,**,**
59,11,*Accordi, Bruno*,**,**
59,12,*Accordi, Bruno*,**,**
59,13,*Accordi, B.*,**,**
59,13,*Campisi, B.*,**,**
59,13,*Colacicchi, R.*,**,**
59,15,*Accordi, B.*,**,**
59,15,*Colacicchi, R.*,**,**
59,16,*Accordi, B.*,**,**
59,16,*Maccagno, A. M.*,**,**
59,17,*Acolat, L.*,**,**
59,18,*Adam, Karl Dietrich*,**,**
59,20,*Adam, Karl Dietrich*,**,**
59,21,*Adam, Karl Dietrich*,**,**
59,22,*Adam, Karl Dietrich*,**,**
59,23,*Adam, Karl Dietrich*,**,**
59,24,*Adam, Leonhard*,**,**
59,25,*Adams, J. J.*,**,**
59,26,*Adler, S.*,**,**
59,27,*Adyalkar, P. G.*,**,**
59,28,*Agache, Roger*,**,**
59,29,*Agache, R.*,**,**
59,29,*Bourdier, F.*,**,**
59,30,*Agache, R.*,**,**
59,30,*Bourdier, F.*,**,**
59,30,*Petit, R.*,**,**
59,31,*Agassiz, Louis (ed. by Lurie, E.)*,**,**
59,32,*Ager, Dereck V.*,**,**
59,33,*Ager, Dereck V.*,**,**
59,34,*Agnew, Allen F.*,**,**
59,34,*Sevon, W. D.*,**,**
59,35,*Agnew, John David*,**,**
59,36,*Agogino, George A.*,**,**
59,37,*Agogino, George A.*,**,**
59,38,*Agogino, George A.*,**,**
59,39,*Agogino, George A.*,**,**
59,40,*Agogino, George A.*,**,**
59,41,*Agogino, George A.*,**,**
59,42,*Agogino, George A.*,**,**
59,43,*Agogino, George A.*,**,**
59,44,*Agogino, George A.*,**,**
59,45,*Agogino, George A.*,**,**
59,46,*Agogino, G.*,**,**
59,46,*Duguid, J.*,**,**
59,47,*Agogino, G.*,**,**
59,47,*Duguid, J.*,**,**
59,48,*Agogino, G. A.*,**,**
59,48,*Frankforter, W. D.*,**,**
59,49,*Agogino, G. A.*,**,**
59,49,*Frankforter, W. D.*,**,**
59,50,*Agogino, G. A.*,**,**
59,50,*Frankforter, W. D.*,**,**
59,51,*Agogino, G. A.*,**,**
59,51,*Sachs, S. K.*,**,**
59,52,*Aguayo, C. G.*,**,**
59,53,*d'Aguilar, G.*,**,**
59,54,*de Aguirre, Emiliano*,**,**
59,55,*de Aguirre, Emiliano*,**,**
59,56,*de Aguirre, Emiliano*,**,**
59,57,*de Aguirre, Emiliano*,**,**
59,58,*de Aguirre, Emiliano*,**,**
59,59,*de Aguirre, Emiliano*,**,**
59,60,*de Aguirre, Emiliano*,**,**
59,61,*de Aguirre, Emiliano*,**,**
59,62,*Ahlfeld, Federico*,**,**
59,62,*Branis%Ja, L.*,**,**
59,63,*Ahlmann, Hans Wilson*,**,**
59,64,*Ahmad, Naseeruddin*,**,**
59,65,*Ahshapanek, Don C.*,**,**
59,65,*Burns, R. D.*,**,**
59,66,*Aitken, M. J.*,**,**
59,67,*Akhmerov, R. B.*,**,**
59,68,*Albright, William Foxwell*,**,**
59,69,*Albritton, Claude C., Jr., (ed.)*,**,**
59,70,*de Albuquerque e Castro, Lui%As*,**,**
59,71,*Alcina Franck, Jose%A, (ed.)*,**,**
59,72,*Alcina Franck, Jose%A, (ed.)*,**,**
59,73,*Alcina Franck, Jose%A, (ed.)*,**,**
59,74,*Aldinger, H.*,**,**
59,75,*Aldridge, Patricia M.*,**,**
59,75,*Cranbrook, Earl of*,**,**
59,76,*Alejo Vignati, Milciades*,**,**
59,77,*Alekperova, N. A.*,**,**
59,78,*Alekperova, N. A.*,**,**
59,79,*Alekperova, N. A.*,**,**
59,80,*Aleksandrova, L. P., et al.*,**,**
59,81,*Alekseeva, L. I.*,**,**
59,82,*Alekseeva, L. I.*,**,**
59,83,*Alekseeva, L. I.*,**,**
59,84,*Alekseeva, L. I.*,**,**
59,85,*Alekseeva, L. I.*,**,**
59,85,*Firu, I. I.*,**,**
59,86,*Alexander, Herbert L., Jr.*,**,**
59,87,*Alexander, R. D.*,**,**
59,88,*Alf, Raymond M.*,**,**
59,89,*Alf, Raymond M.*,**,**
59,92,*Alimen, Marie-Henriette*,**,**
59,93,*Alimen, Marie-Henriette*,**,**
59,94,*Alimen, Marie-Henriette*,**,**
59,95,*Alimen, Marie-Henriette*,**,**
59,96,*Alimen, H.*,**,**
59,96,*Arambourg, C.*,**,**
59,96,*Schreuder, A.*,**,**
59,96,*Alimen, M. H.*,**,**
59,96,*Chavaillon, J.*,**,**
59,97,*Alimen, H.*,**,**
59,97,*Arambourg, C.*,**,**
59,97,*Schreuder, A.*,**,**
59,97,*Alimen, M. H.*,**,**
59,97,*Chavaillon, J.*,**,**
59,98,*Alimen, M. H.*,**,**
59,98,*Chavaillon, J.*,**,**
59,98,*Chavaillon, N.*,**,**
59,99,*Alimen, H.*,**,**
59,99,*Chavaillon, J.*,**,**
59,99,*Conrad, G.*,**,**
59,100,*Alimen, H.*,**,**
59,100,*Goustard, M.*,**,**
59,101,*Allain, J.*,**,**
59,102,*Allain, J.*,**,**
59,103,*Allbrook, David*,**,**
59,103,*Bishop, W. W.*,**,**
59,104,*Allchin, Bridget*,**,**
59,105,*Allchin, Frank Raymond*,**,**
59,105,*Allchin, B.*,**,**
59,106,*Allegranzi, Aldo*,**,**
59,106,*Broglio, A.*,**,**
59,108,*Allen, D. C.*,**,**
59,108,*Allen, Ernest K.*,**,**
59,109,*Allen, J. R. L.*,**,**
59,110,*Allen, J. R. L.*,**,**
59,110,*Tarlo, L. B.*,**,**
59,111,*Allen, John W.*,**,**
59,112,*Almagro Basch, Martin*,**,**
59,113,*Almagro Basch, Martin*,**,**
59,114,*Almagro Basch, Martin*,**,**
59,115,*Almagro Basch, Martin*,**,**
59,116,*Almazova, N. Ia*,**,**
59,117,*Almazova, N. Ia*,**,**
59,118,*Almazova, N. Ia*,**,**
59,119,*Almazova, N. Ia*,**,**
59,120,*Alonso, S. J.*,**,**
59,120,*Ande%Arez, Valeriano*,**,**
59,121,*Alstine, Ralph E.*,**,**
59,121,*Lewis, G. E.*,**,**
59,122,*Altevogt, R.*,**,**
59,123,*Alva Negri, Tomas*,**,**
59,124,*de Alvarez, Elsa F.*,**,**
59,125,*de Alvarez, Elsa F.*,**,**
59,126,*de Alvarez, Elsa F.*,**,**
59,127,*de Alvarez, Elsa F.*,**,**
59,128,*Alvarez, Ticul*,**,**
59,129,*Amadon, Dean*,**,**
59,130,*Ambrosi, A. C.*,**,**
59,131,*An, Chih-min*,**,**
59,131,*Wu, J.*,**,**
59,132,*Anati, Emanuel*,**,**
59,133,*Anderson, Adrian D.*,**,**
59,134,*Anderson, Adrian D.*,**,**
59,135,*Andrews, Roy Chapman*,**,**
59,136,*Aner, Ekkehard*,**,**
59,137,*Angelroth, Henri*,**,**
59,138,*Angelroth, Henri*,**,**
59,139,*Angelroth, Henri*,**,**
59,140,*Angerer, Franz*,**,**
59,141,*Angerer, F.*,**,**
59,141,*Brunnacker, K.*,**,**
59,141,*Frenzel, B.*,**,**
59,141,*Lindner, H.*,**,**
59,142,*Anic%A, Dragutin*,**,**
59,143,*Anonymous*,**,**
59,144,*Anonymous*,**,**
59,145,*Anonymous*,**,**
59,146,*Anonymous*,**,**
59,147,*Anonymous*,**,**
59,148,*Anonymous*,**,**
59,149,*Anonymous*,**,**
59,150,*Anonymous*,**,**
59,151,*Anonymous*,**,**
59,152,*Anonymous*,**,**
59,153,*Anonymous*,**,**
59,154,*Anonymous*,**,**
59,155,*Anonymous*,**,**
59,156,*Anonymous*,**,**
59,157,*Anonymous*,**,**
59,158,*Anonymous*,**,**
59,159,*Anonymous*,**,**
59,160,*Anonymous*,**,**
59,161,*Anonymous*,**,**
59,162,*Anonymous*,**,**
59,163,*Anonymous*,**,**
59,164,*Anonymous*,**,**
59,165,*Anonymous*,**,**
59,166,*Anonymous*,**,**
59,167,*Anonymous*,**,**
59,168,*Anonymous*,**,**
59,169,*Anonymous*,**,**
59,170,*Anonymous*,**,**
59,171,*Anonymous*,**,**
59,172,*Anonymous*,**,**
59,173,*Anonymous*,**,**
59,174,*Anonymous*,**,**
59,175,*Anonymous*,**,**
59,176,*Anonymous*,**,**
59,177,*Anonymous*,**,**
59,178,*Anonymous*,**,**
59,179,*Anonymous*,**,**
59,180,*Anonymous*,**,**
59,181,*Anonymous*,**,**
59,182,*Anonymous*,**,**
59,183,*Anonymous*,**,**
59,184,*Anonymous*,**,**
59,185,*Anonymous*,**,**
59,186,*Anonymous*,**,**
59,187,*Anonymous*,**,**
59,188,*Anonymous*,**,**
59,189,*Anonymous*,**,**
59,190,*Anonymous*,**,**
59,191,*Anonymous*,**,**
59,192,*Anonymous*,**,**
59,193,*Anonymous*,**,**
59,194,*Anonymous*,**,**
59,195,*Anonymous*,**,**
59,196,*Anonymous*,**,**
59,197,*Anonymous*,**,**
59,198,*Anonymous*,**,**
59,199,*Anonymous*,**,**
59,200,*Anonymous*,**,**
59,201,*Anonymous*,**,**
59,202,*Anonymous*,**,**
59,203,*Anonymous*,**,**
59,204,*Anonymous*,**,**
59,205,*Anonymous*,**,**
59,206,*Anonymous*,**,**
59,207,*Anonymous*,**,**
59,208,*Anonymous*,**,**
59,209,*Anonymous*,**,**
59,210,*Anonymous*,**,**
59,211,*Anonymous*,**,**
59,212,*Anonymous*,**,**
59,213,*Anonymous*,**,**
59,214,*Anonymous*,**,**
59,215,*Anonymous*,**,**
59,216,*Anonymous*,**,**
59,217,*Anonymous*,**,**
59,218,*Anonymous*,**,**
59,219,*Anonymous*,**,**
59,220,*Anonymous*,**,**
59,221,*Anonymous*,**,**
59,222,*Anonymous*,**,**
59,223,*Anonymous*,**,**
59,224,*Anonymous*,**,**
59,225,*Anonymous*,**,**
