64,1,*A., J. A.*,**,**
64,2,*AALOE, A. O.*,**,**
64,3,*ABELENTSEV, V. I.*,**,**
64,3,*PUT', A. L.*,**,**
64,4,*ABELSON, PHILIP H.*,**,**
64,5,*ABELSON, PHILIP H.*,**,**
64,6,*ABELSON, PHILIP H.*,**,**
64,7,*ABELTEKOV, A. K.*,**,**
64,7,*GAVRIUSHENKO, P. P.*,**,**
64,7,*ZAUROVA, E. Z.*,**,**
64,7,*KOZHEMIAKO, P. P.*,**,**
64,7,*KOZHOMBERDIEV, I. K.*,**,**
64,7,*IUNUSALIEV, M. B.*,**,**
64,8,*ABRAMOV, I. Ia*,**,**
64,9,*ABRAMOV, M. Ia*,**,**
64,10,*ABRAMOVA, E. A.*,**,**
64,11,*ABRAMOVA, Z. A.*,**,**
64,12,*ABRAMOVA, Z. A.*,**,**
64,13,*ABRAMOVA, Z. A.*,**,**
64,14,*ABRAMOVA, Z. A.*,**,**
64,15,*ABRAMOVA, Z. A.*,**,**
64,16,*ABRAMOVA, Z. A.*,**,**
64,17,*ABRAMOVA, Z. A.*,**,**
64,18,*ABRAMOVA, Z. A.*,**,**
64,19,*ABRAMOVA, Z. A.*,**,**
64,20,*ABRAMOVA, Z. A.*,**,**
64,21,*ABRAMOVA, Z. A.*,**,**
64,22,*ABRAMOVA, Z. A.*,**,**
64,23,*ABRAMOVA, Z. A.*,**,**
64,24,*ABRAMOVA, Z. A.*,**,**
64,25,*ABRAMOVA, Z. A.*,**,**
64,26,*ABRAMOVA, Z. A.*,**,**
64,27,*ABRAMOVA, Z. A.*,**,**
64,28,*ABRAMOVA, Z. A.*,**,**
64,29,*ABRAMOVA, Z. A.*,**,**
64,33,*ACCORDI, BRUNO*,**,**
64,35,*ACCORDI, B.*,**,**
64,35,*LEONARDI, A.*,**,**
64,37,*ADAM, KARL DIETRICH*,**,**
64,38,*ADAM, KARL DIETRICH*,**,**
64,39,*ADAM, KARL DIETRICH*,**,**
64,40,*ADAM, KARL DIETRICH*,**,**
64,41,*ADAM, KARL DIETRICH*,**,**
64,42,*ADAM, KARL DIETRICH*,**,**
64,43,*ADAM, KARL DIETRICH*,**,**
64,44,*ADAMENKO, O. M.*,**,**
64,45,*ADAMENKO, O. M.*,**,**
64,46,*ADAMENKO, O. M.*,**,**
64,47,*ADAMENKO, O. M.*,**,**
64,48,*ADAMENKO, O. M.*,**,**
64,48,*GAI%RDUK, I. M.*,**,**
64,49,*ADAMENKO, O. M.*,**,**
64,49,*ZAZHIGIN, V. S.*,**,**
64,50,*ADAMS, ROBERT McCORMICK*,**,**
64,51,*ADAMS, R. M.*,**,**
64,51,*MAGRE, F.*,**,**
64,53,*ADAMS, R. M.*,**,**
64,53,*MAGRE, F.*,**,**
64,53,*MUNGER, P.*,**,**
64,54,*ADROVER, RAFAEL*,**,**
64,55,*ADROVER, RAFAEL*,**,**
64,56,*ADROVER, RAFAEL*,**,**
64,57,*ADROVER, RAFAEL*,**,**
64,58,*ADROVER, RAFAEL*,**,**
64,59,*ADROVER, RAFAEL*,**,**
64,60,*ADROVER, R.*,**,**
64,60,*DE LA SALLE ANGEL, BASILIO*,**,**
64,61,*ADYALKAR, P. G.*,**,**
64,62,*AFANAS'EV, A. V.*,**,**
64,63,*AGACHE, M. R.*,**,**
64,64,*AGACHE, ROGER*,**,**
64,65,*AGACHE, ROGER*,**,**
64,66,*AGACHE, R.*,**,**
64,66,*BOURDIER, F.*,**,**
64,66,*PETIT, R.*,**,**
64,67,*AGASSIZ, LOUIS*,**,**
64,69,*AGER, D. V.*,**,**
64,70,*AGOGINO, GEORGE A.*,**,**
64,71,*AGOGINO, GEORGE A.*,**,**
64,72,*AGOGINO, GEORGE A.*,**,**
64,73,*AGOGINO, GEORGE A.*,**,**
64,74,*AGOGINO, GEORGE A.*,**,**
64,75,*AGOGINO, GEORGE A.*,**,**
64,76,*AGOGINO, GEORGE A.*,**,**
64,77,*AGOGINO, GEORGE A.*,**,**
64,78,*AGOGINO, GEORGE A.*,**,**
64,79,*AGOGINO, GEORGE A.*,**,**
64,80,*AGOGINO, GEORGE A.*,**,**
64,81,*AGOGINO, GEORGE A.*,**,**
64,82,*AGOGINO, GEORGE A.*,**,**
64,83,*AGOGINO, G. A.*,**,**
64,83,*FRANKFORTER, W. D.*,**,**
64,84,*AGOGINO, G. A.*,**,**
64,84,*GALLOWAY, E.*,**,**
64,85,*AGOGINO, G. A.*,**,**
64,85,*ROVNER, I.*,**,**
64,86,*AGOGINO, G. A.*,**,**
64,86,*ROVNER, I.*,**,**
64,87,*AGOGINO, G. A.*,**,**
64,87,*ROVNER, I.*,**,**
64,87,*IRWIN-WILLIAMS, C.*,**,**
64,88,*AGRON, SAM L.*,**,**
64,93,*de AGUIRRE, EMILIANO*,**,**
64,94,*de AGUIRRE, EMILIANO*,**,**
64,95,*de AGUIRRE, EMILIANO*,**,**
64,96,*de AGUIRRE, EMILIANO*,**,**
64,97,*de AGUIRRE, EMILIANO*,**,**
64,97,*BUTZER, K. W.*,**,**
64,98,*de AGUIRRE, E.*,**,**
64,98,*COLLINS, D.*,**,**
64,98,*CUENCA, J.*,**,**
64,99,*de AGUIRRE, E.*,**,**
64,99,*de la MACORRA, LOUIS*,**,**
64,100,*AHLE%AN, INGEMAR*,**,**
64,101,*AHLE%AN, INGEMAR*,**,**
64,102,*AHLE%AN, INGEMAR*,**,**
64,104,*AKHUNDOV, F. M.*,**,**
64,105,*AKIYAMA, M.*,**,**
64,105,*ITO, Y.*,**,**
64,105,*SASAKI, S.*,**,**
64,106,*AKSENOV, M. P.*,**,**
64,106,*MEDVEDEV, G. I.*,**,**
64,107,*de ALARCAO, JORGE*,**,**
64,108,*ALBERS, HANS*,**,**
64,108,*WEILER, W.*,**,**
64,109,*ALBRECHT, P. W.*,**,**
64,110,*ALBRING, W.*,**,**
64,112,*ALBRITTON, CLAUDE C., JR.*,**,**
64,113,*ALBRITTON, CLAUDE C., JR.*,**,**
64,114,*ALBRITTON, C. C., Jr.*,**,**
64,114,*WENDORF, F.*,**,**
64,115,*ALCINA FRANCH, JOSE%A*,**,**
64,116,*ALDINGER, HERMANN*,**,**
64,117,*ALEKPEROVA, N. A.*,**,**
64,118,*ALEKPEROVA, N. A.*,**,**
64,119,*ALEKPEROVA, N. A.*,**,**
64,120,*ALEKSANDROV, A. L.*,**,**
64,121,*ALEKSANDROV, V. A.*,**,**
64,122,*ALEKSANDROVA, L. P.*,**,**
64,123,*ALEKSANDROVA, L. P.*,**,**
64,124,*ALEKSANDROVA, L. P.*,**,**
64,125,*ALEKSANDROVA, L. P.*,**,**
64,126,*ALEKSANDROVA, L. P.*,**,**
