92,10,*Biochemistry*,*Mammalia*,*Collagen*
92,10,*Fossilization*,*Composition*,*Bone collagen*
92,20,*France*,*Mammalia*,*Pleistocene*
92,20,*Mammalia*,*Artiodactyla*,*Pleistocene*
92,20,*Pleistocene*,*Mammalia*,*France*
92,30,*Acronyms:KMNH*,**,**
92,30,*Cretaceous*,*Reptilia*,*Japan*
92,30,*Japan*,*Reptilia*,*Cretaceous*
92,30,*Reptilia*,*Saurischia*,*Cretaceous*
92,40,*Chondrichthyes*,*Galeoidea*,*Eocene*
92,40,*Eocene*,*Chondrichthyes*,*Japan*
92,40,*Japan*,*Chondrichthyes*,*Eocene*
92,50,*Acronyms:AMNH*,**,**
92,50,*Acronyms:BMNH*,**,**
92,50,*Acronyms:UCMP*,**,**
92,50,*Acronyms:USNM*,**,**
92,50,*Cretaceous*,*Reptilia*,*England*
92,50,*England*,*Reptilia*,*Cretaceous*
92,50,*Reptilia*,*Eusuchia*,*Cretaceous*
92,60,*Chondrichthyes*,*Faunal list*,*Cretaceous*
92,60,*Cretaceous*,*Faunal list*,*Mexico*
92,60,*Cretaceous*,*Paleoenvironment*,*Mexico*
92,60,*Mexico*,*Faunal list*,*Cretaceous*
92,60,*Mexico*,*Paleoenvironment*,*Cretaceous*
92,60,*Osteichthyes*,*Faunal list*,*Cretaceous*
92,70,*Mammalia*,*Biostratigraphy*,*Pleistocene*
92,70,*Mammalia*,*Faunal studies*,*Pleistocene*
92,70,*Mexico*,*Mammalia*,*Pleistocene*
92,70,*Pleistocene*,*Mammalia*,*Mexico*
92,80,*Alaska*,*Geochronology*,*Cretaceous*
92,80,*Alaska*,*Reptilia*,*Cretaceous*
92,80,*Cretaceous*,*Reptilia*,*Alaska*
92,80,*Reptilia*,*Occurrence*,*Cretaceous*
92,90,*Fossil man*,*Occurrence*,*Pliocene-Pleistocene*
92,90,*Pliocene*,*Fossil man*,*South Africa*
92,90,*South Africa*,*Fossil man*,*Pliocene-Pleistocene*
92,90,*Pleistocene*,*Fossil man*,*South Africa*
92,100,*Biography*,*Obituary*,*Dart, R. A.*
92,110,*Paleontology*,*Techniques*,*Phylogenic simulation*
92,120,*Biography*,*Obituary*,*Bohlin, B.*
92,130,*Biography*,*Obituary*,*Romer, R. H.*
92,140,*Crete*,*Faunal list*,*Pleistocene*
92,140,*Crete*,*Mammalia*,*Pleistocene*
92,140,*Greece*,*Mammalia*,*Pleistocene*
92,140,*Mammalia*,*Artiodactyla*,*Pleistocene*
92,140,*Mammalia*,*Faunal list*,*Pleistocene*
92,140,*Pleistocene*,*Faunal list*,*Crete*
92,140,*Pleistocene*,*Mammalia*,*Crete*
92,140,*Pleistocene*,*Mammalia*,*Greece*
92,150,*History*,*Museums*,*Geological Museum,Trinity College,Dublin*
92,150,*Museums*,*Collections*,*Geological Museum,Trinity College,Dublin*
92,160,*History*,*Museums*,*National Museum of Ireland*
92,160,*Museums*,*Collections*,*National Museum of Ireland, Dublin*
92,170,*History*,*Museums*,*Geological Survey of Ireland*
92,180,*History*,*Museums*,*James Mitchell Museum, Galway, Ireland*
92,190,*Croatia*,*Reptilia*,*Oligocene*
92,190,*Oligocene*,*Reptilia*,*Croatia*
92,190,*Reptilia*,*Crocodilia*,*Oligocene*
92,200,*Austria*,*Faunal list*,*Pliocene-Pleistocene*
92,200,*Austria*,*Paleoecology*,*Pliocene-Pleistocene*
92,200,*Austria*,*Reptilia*,*Pliocene-Pleistocene*
92,200,*Mammalia*,*Faunal list*,*Pliocene-Pleistocene*
92,200,*Morphology*,*Squamata*,*Skulls*
92,200,*Paleoecology*,*Indicators*,*Lacertilia*
92,200,*Pleistocene*,*Faunal list*,*Austria*
92,200,*Pleistocene*,*Reptilia*,*Austria*
92,200,*Pliocene*,*Faunal list*,*Austria*
92,200,*Pliocene*,*Reptilia*,*Austria*
92,200,*Reptilia*,*Squamata*,*Pliocene-Pleistocene*
92,210,*Acronyms:UM*,**,**
92,210,*Eocene*,*Mammalia*,*Wyoming*
92,210,*Mammalia*,*Functional morphology*,*Burrowing*
92,210,*Mammalia*,*Palaeanodonta*,*Eocene*
92,210,*Morphology*,*Palaeanodonta*,*Skeletons*
92,210,*Wyoming*,*Mammalia*,*Eocene*
92,220,*Acronyms:AMNH*,**,**
92,220,*Acronyms:UM*,**,**
92,220,*Acronyms:USNM*,**,**
92,220,*Acronyms:YPM-PU*,**,**
92,220,*Eocene*,*Mammalia*,*Wyoming*
92,220,*Eocene*,*Osteichthyes*,*Wyoming*
92,220,*Eocene*,*Reptilia*,*Wyoming*
92,220,*Mammalia*,*Biostratigraphy*,*Eocene*
92,220,*Mammalia*,*Faunal studies*,*Eocene*
92,220,*Osteichthyes*,*Lepisosteiformes*,*Eocene*
92,220,*Reptilia*,*Biostratigraphy*,*Eocene*
92,220,*Reptilia*,*Faunal studies*,*Eocene*
92,220,*Wyoming*,*Mammalia*,*Eocene*
92,220,*Wyoming*,*Osteichthyes*,*Eocene*
92,220,*Wyoming*,*Reptilia*,*Eocene*
92,230,*Acronyms:AMNH*,**,**
92,230,*Acronyms:UM*,**,**
92,230,*Acronyms:USNM*,**,**
92,230,*Acronyms:YPM-PU*,**,**
92,230,*Eocene*,*Mammalia*,*Condylarthra*
92,230,*Mammalia*,*Condylarthra*,*Eocene*
92,230,*Mammalia*,*Functional morphology*,*Locomotion*
92,230,*Morphology*,*Mammalia*,*Vertebrae*
92,240,*Biogeography*,*Dispersal*,*Tetrapoda*
92,240,*Mammalia*,*Faunal list*,*Triassic*
92,240,*Reptilia*,*Faunal list*,*Triassic*
92,240,*Triassic*,*Faunal list*,*Africa*
92,250,*Acronyms:PIN*,**,**
92,250,*Amphibia*,*Temnospondyli*,*Jurassic*
92,250,*Jurassic*,*Amphibia*,*Mongolia*
92,250,*Mongolia*,*Amphibia*,*Jurassic*
92,260,*Acronyms:PIN*,**,**
92,260,*Amphibia*,*Urodela*,*Paleocene*
92,260,*Mongolia*,*Amphibia*,*Paleocene*
92,260,*Paleocene*,*Amphibia*,*Mongolia*
92,270,*Acronyms:IPG*,**,**
92,270,*Eocene*,*Mammalia*,*USSR*
92,270,*Mammalia*,*Perissodactyla*,*Eocene*
92,270,*USSR*,*Mammalia*,*Eocene*
92,280,*Acronyms:GPM*,**,**
92,280,*Agnatha*,*Cepahalaspidida*,*Devonian*
92,280,*Devonian*,*Agnatha*,*USSR*
92,280,*USSR*,*Agnatha*,*Devonian*
92,290,*Acronyms:PIN*,**,**
92,290,*Reptilia*,*Pareiasauria*,*Triassic*
92,290,*Triassic*,*Reptilia*,*USSR*
92,290,*USSR*,*Reptilia*,*Triassic*
92,300,*Acronyms:PIN*,**,**
92,300,*Cretaceous*,*Reptilia*,*Mongolia*
92,300,*Mongolia*,*Reptilia*,*Cretaceous*
92,300,*Morphology*,*Ornithischia*,*Vertebrae*
92,300,*Reptilia*,*Ornithischia*,*Cretaceous*
92,310,*Acronyms:TsNIGRM*,**,**
92,310,*Chondrichthyes*,*Chimaerida*,*Paleocene*
92,310,*Paleocene*,*Chondrichthyes*,*USSR*
92,310,*USSR*,*Chondrichthyes*,*Paleocene*
92,320,*Taphonomy*,*Factors*,*Accumulation*
92,330,*Chondrichthyes*,*Faunal studies*,*Devonian*
92,330,*Devonian*,*Pisces*,*Saudi Arabia*
92,330,*Osteichthyes*,*Faunal studies*,*Devonian*
92,330,*Placodermi*,*Faunal studies*,*Devonian*
92,330,*Saudi Arabia*,*Chondrichthyes*,*Devonian*
92,330,*Saudi Arabia*,*Osteichthyes*,*Devonian*
92,330,*Saudi Arabia*,*Placodermi*,*Devonian*
92,340,*Fossil man*,*Occurrence*,*Pleistocene*
92,340,*Italy*,*Fossil man*,*Pleistocene*
92,340,*Italy*,*Mammalia*,*Pleistocene*
92,340,*Mammalia*,*Occurrence*,*Pleistocene*
92,340,*Pleistocene*,*Fossil man*,*Italy*
92,340,*Pleistocene*,*Mammalia*,*Italy*
92,350,*Biogeography*,*Fossil man*,*Quaternary*
92,360,*Italy*,*Faunal list*,*Pleistocene*
92,360,*Mammalia*,*Faunal list*,*Pleistocene*
92,360,*Pleistocene*,*Faunal list*,*Italy*
92,370,*Mammalia*,*Faunal studies*,*Neogene-Quaternary*
92,370,*Neogene*,*Mammalia*,*Poland*
92,370,*Poland*,*Mammalia*,*Neogene-Quaternary*
