*Acanthaspis*,*armata*,*Devonian (Corniferous); Ohio*
*Acanthoessus*,*affinis*,*Upper Devonian; Quebec, Canada*
*Acanthoessus*,*concinnus*,*Upper Devonian; Quebec, Canada*
*Acanthoessus*,*pristis*,*Devonian (Genesee); New York*
*Acanthoessus*,*semistriatus*,*Lower Devonian; New Brunswick*
*Acentrophorus*,*chicopensis*,*Triassic; New Jersey, Connecticut*
*Aceratherium*,*platycephalum*,*Oligocene (White River); South Dakota*
*Achaenodon*,*insolens*,*Eocene (Bridger); Wyoming: (Uinta); Utah*
*Achaenodon*,*robustus*,*Eocene (Bridger); Wyoming*
*Acheloma*,*cumminsi*,*Permian; Texas*
*Acherontemys*,*heckmani*,*Miocene (Roslyn sandstone); Washington*
*Acipenser*,*ornatus*,*Miocene; Virginia*
*Aciprion*,*formosum*,*Oligocene (White River); South Dakota*
*Acondylacanthus*,*aequicostatus*,*Subcarboniferous (Keokuk); Iowa*
*Acondylacanthus*,*gracilis*,*Subcarboniferous (Kinderhook); Iowa*
*Acondylacanthus*,*gracillimus*,*Subcarboniferous (St. Louis); Missouri, Illinois, Michigan*
*Acondylacanthus*,*mudgianus*,*Coal-measures; Kansas*
*Acondylacanthus*,*nuperus*,*Coal-measures; Illinois*
*Acondylacanthus*,*rectus*,*Coal-measures; Illinois*
*Acrodus*,*emmonsi*,*Miocene?; North Carolina?*
*Acrodus*,*humilis*,*Cretaceous; New Jersey*
*Acrolepis*,*hortonensis*,*Subcarboniferous; New Brunswick*
*Adjidaumo*,*minutus*,*Oligocene (White River); Colorado*
*Adjidaumo*,*trilophus*,*Oligocene (White River); Colorado*
*Adocus*,*agilis*,*Cretaceous (Green-sand No. 5); New Jersey*
*Adocus*,*beatus*,*Cretaceous (Green-sand No. 5); New Jersey*
*Adocus*,*pectoralis*,*Cretaceous (Green-sand No. 5); New Jersey*
*Adocus*,*pravus*,*Cretaceous (Green-sand No. 5); New Jersey*
*Adocus*,*syntheticus*,*Cretaceous (Green-sand No. 5); New Jersey*
*Ae%Ftobatus*,*arcuatus*,*Miocene; Europe, Maryland, North Carolina.  The identification of the American specimens is doubtful*
*Ae%Ftobatus*,*perspicuus*,*Eocene?;  New Jersey*
*Ae%Ftobatus*,*profundus*,*Miocene; Maryland*
*Aechmophorus*,*occidentalis*,*Recent; Western North America: Pleistocene; Oregon*
*Aelurodon*,*compressus*,*Miocene (Loup Fork); Nebraska*
*Aelurodon*,*haydeni*,*Miocene (Loup Fork); Nebraska*
*Aelurodon*,*hyaenoides*,*Miocene (Loup Fork); Kansas or Nebraska*
*Aelurodon*,*meandrinus*,*Miocene (Loup Fork); Nebraska*
*Aelurodon*,*saevus*,*Miocene (Loup Fork); Nebraska, New Mexico*
*Aelurodon*,*taxoides*,*Miocene (Loup Fork); Nebraska*
*Aelurodon*,*ursinus*,*Miocene (Loup Fork); New Mexico, Nebraska*
*Aelurodon*,*wheelerianus*,*Miocene (Loup Fork); New Mexico, Nebraska*
*Aelurotherium*,*leidyanum*,*Eocene (Bridger); Wyoming*
*Agabelus*,*porcatus*,*Miocene; New Jersey*
*Agathaumas*,*mortuarius*,*Cretaceous (Laramie); Colorado*
*Agathaumas*,*sylvestris*,*Cretaceous (Laramie); Wyoming*
*Agomphus*,*firmus*,*Cretaceous (Green-sand No. 5); New Jersey*
*Agomphus*,*oxysternum*,*Tertiary?; Georgia*
*Agomphus*,*petrosus*,*Cretaceous (Green-sand No. 5); New Jersey*
*Agomphus*,*turgidus*,*Cretaceous (Green-sand No. 5); New Jersey*
*Agorophius*,*pygmaeus*,*Eocene; South Carolina*
*Agouti*,*paca*,*Recent; Mexico to Paraguay.  Reported by Harlan as a fossil found in vicinity of Philadelphia; but d*
*Agriochoerus*,*antiquus*,*Oligocene (White River); South Dakota*
*Agriochoerus*,*auritus*,*Oligocene (White River); South Dakota*
*Agriochoerus*,*ferox*,*Miocene (John Day); Oregon*
*Agriochoerus*,*gaudryi*,*Oligocene (White River); South Dakota*
*Agriochoerus*,*guyotianus*,*Miocene (John Day); Oregon*
*Agriochoerus*,*latifrons*,*Oligocene (White River); South Dakota*
*Agriochoerus*,*macrocephalus*,*Miocene (John Day); Oregon*
*Agriochoerus*,*major*,*Oligocene (White River); South Dakota*
*Agriochoerus*,*migrans*,*Oligocene (White River); South Dakota*
*Agriochoerus*,*ryderanus*,*Miocene (John Day); Oregon*
*Agriochoerus*,*trifrons*,*Miocene (John Day); Oregon*
*Aix*,*sponsa*,*Recent; North America: Pleistocene; Oregon*
*Alces*,*americanus*,*Recent in northern portions of North America: Pleistocene; Kentucky, Kansas?, Alaska*
*Alces*,*brevitrabalis*,*Pleistocene; Washington*
*Alces*,*semipalmatus*,*Pleistocene; Washington*
*Aletornis*,*bellus*,*Eocene (Bridger); Wyoming*
*Aletornis*,*gracilis*,*Eocene (Bridger); Wyoming*
*Aletornis*,*nobilis*,*Eocene (Bridger); Wyoming*
*Aletornis*,*pernix*,*Eocene (Bridger); Wyoming*
*Aletornis*,*venustus*,*Eocene (Bridger); Wyoming*
*Allacodon*,*fortis*,*Cretaceous (Laramie); Wyoming*
*Allacodon*,*lentus*,*Cretaceous (Laramie); Wyoming*
*Allacodon*,*pumilis*,*Cretaceous (Laramie); Wyoming*
*Allacodon*,*rarus*,*Cretaceous (Laramie); Wyoming*
*Alligator*,*mississippiensis*,*Recent and in Peace Creek beds; Florida: Pleistocene; South Carolina*
*Allodon*,*fortis*,*Jurassic; Wyoming*
*Allodon*,*laticeps*,*Jurassic; Wyoming*
*Allomys*,*cavatus*,*Miocene (John Day); Oregon*
*Allomys*,*hippodus*,*Miocene (John Day); Oregon*
*Allomys*,*liolophus*,*Miocene (John Day); Oregon*
*Allomys*,*multiplicatus*,*Miocene (John Day); Oregon*
*Allomys*,*nitens*,*Miocene (John Day); Oregon*
*Allopus*,*littoralis*,*Coal-measures; Kansas*
*Allosaurus*,*fragilis*,*Jurassic; Colorado*
*Amacanthus*,*gibbosus*,*Subcarboniferous (St. Louis); Missouri, Illinois*
*Ambloctonus*,*sinosus*,*Eocene (Wasatch); New Mexico*
*Amblyodon*,*problematicus*,*Coal-measures; Nova Scotia*
*Amblypterus*,*carolinae*,*Triassic; North Carolina*
*Amblypus*,*dextratus*,*Triassic; Massachusetts*
*Ameiurus*,*cancellatus*,*Oligocene; Northwest Territory, Canada*
*Ameiurus*,*maconnellii*,*Oligocene; Northwest Territory, Canada*
*Amia*,*depressa*,*Eocene (Bridger); Wyoming*
*Amia*,*dictyocephala*,*Eocene (Amyzon shales); Colorado*
*Amia*,*elegans*,*Eocene (Bridger); Wyoming*
*Amia*,*gracilis*,*Eocene (Bridger); Wyoming*
*Amia*,*macrospondyla*,*Miocene; N. W. Territory, Canada*
*Amia*,*media*,*Eocene (Bridger); Wyoming*
*Amia*,*newberriana*,*Eocene (Bridger); Wyoming*
*Amia*,*scutata*,*Eocene (Amyzon shales); Colorado*
*Amia*,*uintaensis*,*Eocene (Bridger); Wyoming*
*Amia*,*whiteavesiana*,*Lower Miocene; N. W. Territory, Canada*
*Amiopsis*,*dartoni*,*Jurassic; South Dakota*
*Ammodon*,*bathrodon*,*Oligocene (White River); South Dakota?*
*Ammodon*,*leidyanus*,*Miocene; New Jersey*
*Ammosaurus*,*major*,*Triassic; Connecticut*
*Amphibamus*,*grandiceps*,*Coal-measures; Illinois*
*Amphicoelias*,*altus*,*Jurassic; Colorado*
*Amphicoelias*,*fragillimus*,*Jurassic; Colorado*
*Amphicoelias*,*latus*,*Jurassic; Colorado*
*Amphiplaga*,*brachyptera*,*Eocene (Green River); Wyoming*
*Amynodon*,*advenus*,*Eocene (Uinta); Utah*
*Amynodon*,*antiquus*,*Eocene (Bridger); Wyoming*
*Amynodon*,*intermedius*,*Eocene (Uinta); Utah*
*Amyzon*,*brevipinne*,*Tertiary (Amyzon shales); British Columbia*
*Amyzon*,*commune*,*Tertiary (Amyzon shales); Colorado*
*Amyzon*,*fusiforme*,*Tertiary (Amyzon shales); Colorado*
