99,1,*A*,**,**
99,2,*F. S. A*,**,**
99,3,*F. S. A*,**,**
99,4,*G.A*,**,**
99,5,*AAGAARD, C. E*,**,**
99,6,*ABBOTT, WILLIAM JAMES LEWIS*,**,**
99,7,*ABBOTT, WILLIAM JAMES LEWIS*,**,**
99,8,*ABBOTT, WILLIAM JAMES LEWIS*,**,**
99,9,*ABBOTT, WILLIAM JAMES LEWIS*,**,**
99,10,*ABBOTT, WILLIAM JAMES LEWIS*,**,**
99,11,*ABBOTT, WILLIAM JAMES LEWIS*,**,**
99,12,*ABBOTT, WILLIAM JAMES LEWIS*,**,**
99,13,*ABEL, CHARLES*,**,**
99,14,*ABEL, OTHENIO*,**,**
99,15,*ABEL, OTHENIO*,**,**
99,16,*ABEL, OTHENIO*,**,**
99,17,*ABEL, OTHENIO*,**,**
99,18,*ABEL, OTHENIO*,**,**
99,19,*ABEL, OTHENIO*,**,**
99,20,*ABEL, OTHENIO*,**,**
99,21,*ABEL, OTHENIO*,**,**
99,22,*ABEL, OTHENIO*,**,**
99,23,*ABEL, OTHENIO*,**,**
99,24,*ABEL, OTHENIO*,**,**
99,25,*ABEL, OTHENIO*,**,**
99,26,*ABEL, OTHENIO*,**,**
99,27,*ABEL, OTHENIO*,**,**
99,28,*ABEL, OTHENIO*,**,**
99,29,*ABEL, OTHENIO*,**,**
99,30,*ABEL, OTHENIO*,**,**
99,31,*ABEL, OTHENIO*,**,**
99,32,*ABEL, OTHENIO*,**,**
99,33,*ABEL, OTHENIO*,**,**
99,34,*ABEL, OTHENIO*,**,**
99,35,*ABEL, OTHENIO*,**,**
99,36,*ABEL, OTHENIO*,**,**
99,37,*ABEL, OTHENIO*,**,**
99,38,*ABEL, OTHENIO*,**,**
99,39,*ABEL, OTHENIO*,**,**
99,40,*ABEL, OTHENIO*,**,**
99,41,*ABEL, OTHENIO*,**,**
99,42,*ABEL, OTHENIO*,**,**
99,43,*ABEL, OTHENIO*,**,**
99,44,*ABEL, OTHENIO*,**,**
99,45,*ABEL, OTHENIO*,**,**
99,46,*ABEL, OTHENIO*,**,**
99,47,*ABEL, OTHENIO*,**,**
99,48,*ABEL, OTHENIO*,**,**
99,49,*ABEL, OTHENIO*,**,**
99,50,*ABEL, OTHENIO*,**,**
99,51,*ABEL, OTHENIO*,**,**
99,52,*ABEL, OTHENIO*,**,**
99,53,*ABEL, OTHENIO*,**,**
99,54,*ABEL, OTHENIO*,**,**
99,55,*ABEL, OTHENIO*,**,**
99,56,*ABEL, OTHENIO*,**,**
99,57,*ABEL, OTHENIO*,**,**
99,58,*ABEL, OTHENIO*,**,**
99,59,*ABEL, OTHENIO*,**,**
99,60,*ABEL, OTHENIO*,**,**
99,61,*ABEL, OTHENIO*,**,**
99,62,*ABEL, OTHENIO*,**,**
99,63,*ABEL, OTHENIO*,**,**
99,64,*ABEL, OTHENIO*,**,**
99,65,*ABEL, OTHENIO*,**,**
99,66,*ABEL, OTHENIO*,**,**
99,67,*ABEL, OTHENIO*,**,**
99,68,*ABEL, OTHENIO*,**,**
99,69,*ABEL, OTHENIO*,**,**
99,70,*ABEL, OTHENIO*,**,**
99,71,*ABEL, OTHENIO*,**,**
99,72,*ABEL, OTHENIO*,**,**
99,73,*ABEL, OTHENIO*,**,**
99,74,*ABEL, OTHENIO*,**,**
99,75,*ABEL, OTHENIO*,**,**
99,76,*ABEL, OTHENIO*,**,**
99,77,*ABEL, OTHENIO*,**,**
99,78,*ABEL, OTHENIO*,**,**
99,79,*ABEL, OTHENIO*,**,**
99,80,*ABEL, OTHENIO*,**,**
99,81,*ABEL, OTHENIO*,**,**
99,82,*ABEL, OTHENIO*,**,**
99,83,*ABEL, OTHENIO*,**,**
99,84,*ABEL, OTHENIO*,**,**
99,85,*ABEL, OTHENIO*,**,**
99,86,*ABEL, OTHENIO*,**,**
99,87,*ABEL, OTHENIO*,**,**
99,88,*ABEL, OTHENIO*,**,**
99,89,*ABEL, OTHENIO*,**,**
99,90,*ABEL, OTHENIO*,**,**
99,91,*ABEL, OTHENIO*,**,**
99,92,*ABEL, OTHENIO*,**,**
