#0000001	Abstracts of Papers -- Pacific Science Congress (Pacific Science Association)	.	.
#0000002	Bloomington Indiana Grotto Newsletter	Bloomington, IN, USA	Bloomington Indiana Grotto, Indiana University
#0000003	Bla%Ftter des Schwa%Fbischen Albvereins	Stuttgart, FRG	Schwa%Fbischer Albverein
#0000004	Comunicaciones Paleontolo%Agicas del Museo Municipal Real de San Carlos	Colonia, Uruguay	Museo Municipal Real de San Carlos
#0000005	Revista del Instituto de Ciencias Geolo%Agicas (San Salvador de Jujuy, Argentina)	San Salvador de Jujuy, Argentina	Repu%Ablica Argentina, Universidad Nacional de Jujuy, Instituto de Ciencias Geolo%Agicas
#0000006	Revue Pe%Ariodique de ``La Physiophile'' (N. S.)	Montceau-les-Mines, France	Socie%Ate%A d'E%Atudes des Sciences Naturelles et Historiques de Montceau-les-Mines
#0000007	Cie%Dncias da Terra (Lisbon)	Lisbon, Portugal	Universidade Nova de Lisboa, Faculdade de Cie%Dncias e Tecnologia
#0000008	Contributions to Vertebrate Evolution	Basel, Switzerland	S. Karger
#0000009	Open File Report -- New Brunswick, Natural Resources	[Fredericton], NB, Canada	New Brunswick, [Department of] Natural Resources
#0000010	Mededelingen van het Koninklijk Zeeuwsch Genootschap de Wetenschappen, Archief	Middelburg, The Netherlands	Koninklijk Zeeuwsch Genootschap de Wetenschappen
#0000011	Publicacion Extra -- Museo Nacional de Historia Natural (Montevideo)	Montevideo, Uruguay	Museo Nacional de Historia Natural
#0000012	Special Publication of the Museum of Natural History, University of Kansas	Lawrence, KS, USA	The University of Kansas, Museum of Natural History
#0000013	Beitra%Fge zur Pala%Fontologie von O%Fsterreich	Vienna, Austria	Institut fu%Fr Pala%Fontologie der Universita%Ft Wien
#0000014	Mesozoic Vertebrate Life	San Diego, CA, USA	George Olshevsky
#0000015	Professional Papers of Stratigraphy and Palaeontology [Diceng Gushengwu Lunwenji = Ti-ts'eng Ku-sheng-wu Lun-wen-chi = Coll. Papers on Stratigr. and Paleo.] (Beijing)	Beijing, China	Dizhi Chubanshe
#0000016	Actas del Congreso Latinoamericano de Paleontologi%Aa = Anais do Congresso Latino-Americano de Paleontologia	.	.
#0000017	Don%Eana -- Acta Vertebrata. Revista de Vertebrados de la Estacio%An Biolo%Agica de Don%Eana	Seville, Spain	Estacio%An Biolo%Agica de Don%Eana (Consejo Superior de Invest. Cienti%Aficas)
#0000019	Investigations on Cetacea. Institute of Brain Anatomy, University of Bern	Bern, Switzerland	Institute of Brain Anatomy, University of Bern
#0000020	Bulletin of the University of Utah	Salt Lake City, UT, USA	University of Utah
#0000021	Brass Light	Richmond, VA, USA	RASS (Richmond Area Speleological Society)
#0000023	Renleixue Xuebao [=Jen-lei-hsu%Feh Hsu%Feh-pao, =Anthropology Journal] = Acta Anthropologica Sinica. (Acad. Sinica Inst. of Vert. Paleontol. and Paleoanthro.)	Beijing, China	Kexue Chubanshe
#0000024	Speleon	Barcelona, Spain	Centre Excursionista de Catalunya
#0000025	Zhongguo Kexue [= Chung-kuo K'o-hsu%Feh, = Chinese Science] = Scientia Sinica (English Edition)	Beijing, China	Zhongguo Kexue Yuan Zhuban -- Academia Sinica
#0000026	Zhongguo Kexue [= Chung-kuo K'o-hsu%Feh, = Chinese Science] -- Scientia Sinica. Series B (Chemical, Biological, Agricultural, Medical & Earth Sciences). (Engl. Ed.)	Beijing, China	Acad. Sin.
#0000027	Rendiconti della Societa%C Geologica Italiana. Supplemento al Bollettino della Societa%C Italiana	Rome, Italy	Societa%C Geologica Italiana
#0000029	Annalen des Naturhistorischen Museums in Wien. Ser. A fu%Fr Mineralogie und Petrographie, Geologie und Pala%Fontologie, Anthropologie und Pra%Fhistorie	Vienna, Austria	Natur. Mus. Wien
#0000030	North American Paleontological Convention -- Proceedings. [s.l.]	North American Paleontological Convention	\N
#0000031	Eesti NSV Teaduste Akadeemia Toimetised, Bioloogiline Seeria = Izvestiya Akademii Nauk Estonskoy SSR, Seriya Biologicheskaya\	Tallin, EstSSR, USSR\	 Izdatel'stvo ``Perioodika''	\N	\N
#0000032	Rivista del Museo Civico di Scienze Naturali ``E. Caffi''	Bergamo, Italy	Museo Civico di Scienze Naturali di Bergamo
#0000033	International Geological Correlation Programme, Project 73/1/24: Quaternary Glaciations in the Northern Hemisphere, Report	Prague, Czechoslovakia	Internat. Geological Correlation Programme
#0000035	Izvestiya Akademii Nauk Tadzhikskoy SSR, Otdeleniye Fiziko-Matematicheskikh i Geologo-Khimicheskikh Nauk	Dushanbe, TazhSSR, USSR	Izdatel'stvo ``Donish''
#0000036	Mitteilungen der Naturforschenden Gesellschaft Luzern	Lucerne, Switzerland	Kommissionsverlag Eugen Haag, Lucerne, Switzerland
#0000037	Publication of the Geological Research and Development Centre. Paleontology Series. Ministry of Mines and Energy(Indonesia)	Bandung, Indonesia	Republic of Indonesia, Ministry of Mines and Energy, Directorate General of Mines
#0000038	I Quaderni	Maglie, Italy	Museo Communale di Paleontologia
#0000039	Haiyang Huikan [= Hai-yang Hui-k'an = Marine Journal] = Journal of Marine Science (Taiwan)	Taibei [= T'ai-pei], Taiwan	Institute of Marine Science and Dept. of Marine Science, Chinese Culture University
#0000040	Quaternary of South America and Antarctic Peninsula	Rotterdam, The Netherlands	A. A. Balkema
#0000041	Australian Quaternary Newsletter	Canberra, ACT, Australia	Research School of Pacific Studies, The Australian National University
#0000042	Mississippi Geology	Jackson, MS, USA	State of Mississippi, Bureau of Geology, Department of Natural Resources
#0000043	QDR -- Quaderni di Documentazione Regionale, Nuova Serie	Milano, Italy	Istituto Lombardo Accademia di Scienze e Lettere
#0000044	De Rebus in Palaeontologico Museo Upsaliensi Collectis = Illustr. Catal. of the Type Collections of the Palaeontol. Mus. of the Univ. of Uppsala	Uppsala, Sweden	Palaeontol. Museum, Univ. Uppsala. 1973
#0000045	Memoirs of the Natural History Foundation of Orange County (California)	Huntington Beach, CA, USA	The Natural History Foundation of Orange County
#0000046	Geologi%Aa Norandina(Bogota%A)	Bogota%A, Colombia	Sociedad Colombiana de Geologi%Aa
#0000047	Occasional Paper -- Imperial Valley College Museum Society	El Centro, CA, USA	Imperial Valley College Museum Society
#0000048	Jornadas Argentinas de Paleontologi%Aa de Vertebrados, Resu%Amenes	La Plata, Argentina	Comisio%An de Investigaciones Cienti%Aficas de la Provincia de Buenos Aires
#0000049	Dakoterra	Rapid City, SD, USA	South Dakota School of Mines and Technology
#0000050	Memo%Arias do Museu do Mar, Serie Zoolo%Agica, Municipio de Cascais	Cascais, Portugal	Museu do Mar
#0000051	Actas del Congreso Latinoamericano de Geologi%Aa	.	.
08917035	Scanning Microscopy	Chicago, IL, USA	SEM Inc.
#0000052	Hercynica	Rennes, Frence	Socie%Ate%A Ge%Aologique et Mine%Aralogique de Bretagne
#0000053	Dortmunder Beitra%Fge zur Landeskunde, Naturwissenschaftliche Mitteilungen	Dortmund, Germany	Museum fu%Fr Naturkunde
#0000054	Journal of the Sydney Speleological Society	Sydney, Australia	Sydney Speleological Society
#0000055	Relatorio del Congreso Geolo%Agico Argentino	Buenos Aires, Argentina	Asociacio%An Geolo%Agica Argentina
#0000056	The Linnean. Newsletter and Proceedings of the Linnean Society of London	London, England	The Linnean Society
#0000057	Le Figaro-Magazine	Paris, France	Le Figaro
#0000058	Current Trends in Geology (New Delhi)	New Delhi, India	Today & Tomorrow's Printers and Publishers
#0000059	Nymphaea. Folia Naturae Bihariae	Oradea, Romania	Muzeul T%Ba%Rrii Cris%Burilor
#0000060	Studi e Ricerche sui Giacimenti Terziari di Bolca	Verona, Italy	Museo Civico di Storia Naturale
#0000061	Proceedings of the Indian Colloquium on Micropalaeontology and Stratigraphy	.	.
#0000062	Akademiya Nauk Ukrayns'koy RSR. Instytut Geologichesnykh Nauk. Seriya Stratygrafii i Paleontologii [Trudy]	Kiev, USSR	Akad. Nauk Ukr. RSR
#0000063	Atlal. The Journal of Saudi Arabian Archaeology	Riyadh, Kingdom of Saudi Arabia	Department of Antiquities and Museums, Ministry of Education
#0000064	BGS Reports	London, England	British Geological Survey. Her Majesty's Stationary Office
#0000065	BGS Short Communications	London, England	British Geological Survey. Her Majesty's Printing Office
#0000066	Recent Researches in Geology (Delhi)	Delhi, India	Hindustan Publishing Corporation
#0000067	Trudy Tsentral'nogo Nauchno-Issledovatel'skogo Geologo-Razvedochnogo Instituta (TsNIGRI)	Leningrad, USSR	Glavnoye Geologo-Gidro-Geodezicheskoye Upravleniye
#0000068	Trudy Komissii po Izucheniyu Chetvertichnogo Perioda (Leningrad)	Leningrad, USSR	Akademiya Nauk SSSR, Komissiya po Izucheniyu Chetvertichnogo Perioda
#0000069	Fossilia Baltica	Tallin, Estonian SSR, USSR	Akademiya Nauk Estonskoy SSR, Institut Geologii
#0000070	Trudy Mongol'skoy Komissii	Moscow-Leningrad, USSR	Akademiya Nauk SSSR, Komitet Nauk Mongol'skoy Narodnoy Respubliki
#0000071	Scho%Fnes Schwaben	Ammerbuch-Entringen, Germany	Verlag Scho%Fnes Schwaben Appelkamp
#0000072	O%Fsle%Anytani Vita%Ak (Budapest)	Budapest, Hungary	Magyarhoni O%Fsle%Anytani Ta%Arsulat
#0000073	Investigation -- New Jersey State Museum	Trenton, NJ, USA	New Jersey State Museum
#0000074	Mizunami-Shi Kaseki Hakubutsukan Sempo%N = Monographs of the Mizunami Fossil Museum	Mizunami City, Japan	.
#0000075	University of Colorado at Denver, Geology Department Magazine	Denver, CO, USA	University of Colorado at Denver, Geology Department
#0000076	Beitra%Fge zur Naturkunde in Osthessen	Fulda, Germany	Verein fu%Fr Naturkunde in Osthessen
#0000077	Annales du Muse%Aum du Havre	Le Havre, France	Muse%Aum du Havre
#0000078	Occasional Short Notes -- Saskatchewan Museum of Natural History	Regina, Sask., Canada	Saskatchewan Culture and Recreation
#0000079	Beihefte zum Tu%Fbinger Atlas des Vorderen Orients. Reihe A: Naturwissenschaften	Wiesbaden, Germany	Dr. Ludwig Reichert Verlag
#0000080	Sagittarius (South African Museum). Magazine of the South African Museum = Tyskrif van die Sud Afrikaanse Museum	Cape Town, South Africa	The Museum
#0000081	Geogaceta	Madrid, Spain	Sociedad Geolo%Agica de Espan%Ea
#0000082	Mitteilungen der Naturforschenden Gesellschaft Schaffhausen	Schaffhausen, Switzerland	Naturforschende Gesellschaft Schaffhausen
#0000083	Publicationes de la Fundacio%An de Investigationes Arqueolo%Agicas Nacionales (Bogata%A)	Bogata%A, Colombia	Banco de la Repu%Ablica.
#0000084	Bulletin de la Socie%Ate%A Ge%Aologique de France. Se%Arie 5	Paris, France	Socie%Ate Ge%Aologique de France
#0000085	Current Mammalogy	New York, NY, USA	Plenum Publishing Corp
#0000086	American Philosophical Society. Grantees' Reports	Philadelphia, PA, USA	American Philosophical Society
#0000087	Journal of Mediterranean Anthropology and Archaeology	Xanthi, Greece	Anthropological Museum of the International Demokritos Foundation of Xanthi
#0000088	Kashmir Journal of Geology	.	.
#0000089	Occasional Papers of the Tyrrell Museum of Palaeontology	Drumheller, Canada	Tyrrell Museum of Palaeontology
#0000090	Papers in Florida Paleontology	Gainesville, FL, USA	Florida Paleontological Society, Inc., Florida Museum of Natural History, University of Florida
#0000091	Ningxia Dizhi [Ning-hsia Ti-chih] = Ningxia Geology	Yinchuan, China	Bureau of Geology and Minerals of Ningxia
#0000092	Yezhegodnik Tsentral'nogo Nauchno-Issledovatelskogo Geologo-Razvedochnogo Muzeya im. Akad. F. N. Chernysheva = Annals of the Central Geological and Prospecting Scientific Research Museum	.	.
#0000093	Trudy Adygeyskogo Nauchno-Issledovatel'skogo Instituta Yazyka, Literatury i Istorii	Maykop, USSR	Adygeyskoe Knizhoye Izdatel'stvo
#0000094	Beitra%Fge zur Naturkundlichen Forschung in Su%Fdwestdeutschland	Karlsruhe, Germany	.
#0000095	Urgeschichtliche Materialhefte	Tu%Fbingen, Germany	Institut fu%Fr Urgeschichte der Universita%Ft Tu%Fbingen. Verlag Archaeologica Venatoria
#0000096	Tu%Fbinger Monographien zur Urgeschichte	Tu%Fbingen, Germany	Institut fu%Fr Urgeschichte der Universita%Ft Tu%Fbingen. Verlag Archaeologica Venatoria
#0000097	Point Reyes Bird Observatory Newsletter	Stinson Beach, CA, USA	Point Reyes Bird Observatory
#0000098	Atti della Reale Accademia delle Scienze Fisiche e Matematiche, Serie 3	Naples	Societa%C Reale di Napoli
#0000099	Verslagen der Geologische Sectie. Geologisch-Mijnbouwkundig Genootschap voor Nederland en Kolonie%Fn	The Hague, The Netherlands	Mouton & Co.
#0000100	Chetvertynnyi%R Period	Kiev, USSR	Akademiya Nauk URSR, Komisiya Vyvchannya Chetvertynnoho Periodu. Vydavnytstvo Akademii%F Nauk URSR
#0000101	Peshchery = Caves	Perm', USSR	Permskiy Gosudarstvennyy Universitet. Institut Karstovedeniya i Speleologii
#0000102	Quaderns de l'Institut	Le%Arida (Leida), Spain	Institut d'Estudis Ilerdencs
#0000103	Encuentro. Revista Boliviana de Cultura	La Paz, Bolivia	A.T.C. S.A. Administradora de Tarjetas c%Ba Cre%Adito
#0000104	Archief Zeeuwsch Genootschap der Wetenschappen	Middleburg, The Netherlands	.
