--
-- Data for TOC Entry ID 31 (OID 1153543)
--
-- Name: tauth Type: TABLE DATA Owner: osirisdba
--


COPY tauth FROM stdin;
641	A.	A.	J. A.	0	 
642	Aaloe	Aaloe	A. O.	0	 
643	Abelentsev	Abelentsev	V. I.	0	 
643	Put'	Put'	A. L.	1	 
644	Abelson	Abelson	Philip H.	0	 
645	Abelson	Abelson	Philip H.	0	 
646	Abelson	Abelson	Philip H.	0	 
647	Abeltekov	Abeltekov	A. K.	0	 
647	Gavriushenko	Gavriushenko	P. P.	1	 
647	Zaurova	Zaurova	E. Z.	2	 
647	Kozhemiako	Kozhemiako	P. P.	3	 
647	Kozhomberdiev	Kozhomberdiev	I. K.	4	 
647	Iunusaliev	Iunusaliev	M. B.	5	 
648	Abramov	Abramov	I. Ia	0	 
649	Abramov	Abramov	M. Ia	0	 
6410	Abramova	Abramova	E. A.	0	 
6411	Abramova	Abramova	Z. A.	0	 
6412	Abramova	Abramova	Z. A.	0	 
6413	Abramova	Abramova	Z. A.	0	 
6414	Abramova	Abramova	Z. A.	0	 
6415	Abramova	Abramova	Z. A.	0	 
6416	Abramova	Abramova	Z. A.	0	 
6417	Abramova	Abramova	Z. A.	0	 
6418	Abramova	Abramova	Z. A.	0	 
6419	Abramova	Abramova	Z. A.	0	 
6420	Abramova	Abramova	Z. A.	0	 
6421	Abramova	Abramova	Z. A.	0	 
6422	Abramova	Abramova	Z. A.	0	 
6423	Abramova	Abramova	Z. A.	0	 
6424	Abramova	Abramova	Z. A.	0	 
6425	Abramova	Abramova	Z. A.	0	 
6426	Abramova	Abramova	Z. A.	0	 
6427	Abramova	Abramova	Z. A.	0	 
6428	Abramova	Abramova	Z. A.	0	 
6429	Abramova	Abramova	Z. A.	0	 
6433	Accordi	Accordi	Bruno	0	 
6435	Accordi	Accordi	B.	0	 
6435	Leonardi	Leonardi	A.	1	 
6437	Adam	Adam	Karl Dietrich	0	 
6438	Adam	Adam	Karl Dietrich	0	 
6439	Adam	Adam	Karl Dietrich	0	 
6440	Adam	Adam	Karl Dietrich	0	 
6441	Adam	Adam	Karl Dietrich	0	 
6442	Adam	Adam	Karl Dietrich	0	 
6443	Adam	Adam	Karl Dietrich	0	 
6444	Adamenko	Adamenko	O. M.	0	 
6445	Adamenko	Adamenko	O. M.	0	 
6446	Adamenko	Adamenko	O. M.	0	 
